busstop_id,busstop,latitude,longitude
s1,EAST FORT,8.48322,76.9474
s2,OVERBRIDGE,8.48846,76.94744
s3,AYURVEDA COLLEGE,8.490969999999999,76.94709
s4,STATUE,8.496839999999999,76.94828000000001
s5,PALAYAM,8.50253,76.94937
s7,GENERAL HOSPITAL,8.4992,76.94296
s8,PATTOOR,8.4975,76.93706999999999
s9,PALLIMUKKU,8.49681,76.93342
s10,PETTAH JN,8.49512,76.92903000000001
s11,KALLUMOODU,8.49773,76.92582
s12,KALLUMOODU PALAM,8.49901,76.92423000000001
s13,KUDAVOOR,8.50117,76.92152
s14,MULLOOR,8.50332,76.91882
s15,ANAYARA,8.505410000000001,76.91620999999999
s16,LORDS JN,8.50718,76.91405
s17,ULAMKUZHI,8.508339999999999,76.91346999999999
s18,KIZHAKATHIL,8.50924,76.90984
s19,KIMS ROAD,8.5106,76.90911
s20,VENPALAVTTAM JN,8.51153,76.90746999999999
s21,VENPALAVTTAM TEMPLE,8.51126,76.90607
s22,WORLD MARKET,8.50997,76.90415
s23,VAZHAVILA,8.50838,76.90248000000001
s24,KARIKAKAM PALAM,8.50735,76.90585
s25,CHAMUNDI NAGR,8.50481,76.90862
s26,KARIKAKAM VAYANASALA,8.49901,76.91376
s29,SAPHALYAM,8.50283,76.95057
s30,LMS,8.5085,76.95222
s31,PMG,8.50887,76.94935
s32,PLAMOODU,8.51455,76.94549
s33,PATTOM,8.51879,76.9422
s34,PATTOM LIC,8.522910000000001,76.94057
s35,ST MARYS,8.526539999999999,76.93894
s36,KESAVADASAPURAM,8.53019,76.93868
s37,PARUTHIPARA,8.5358,76.94227
s38,PANAN VILA,8.53758,76.94165
s39,MAIN GATE,8.54226,76.94154
s40,KURISHADI,8.54628,76.94466
s41,STEP JN,8.54907,76.94272
s42,KOTTAMUGAL,8.55303,76.94301999999999
s43,KOVIL NAGAR,8.55585,76.94346999999999
s44,MANNANTHALA,8.561010000000001,76.94332
s45,PERIYAN KODE,8.567689999999999,76.94406
s46,ARUVIYODE,8.57109,76.94587
s47,MARUDHOOR,8.57294,76.94422
s48,THAZA CHITTAZA,8.57693,76.94323
s49,CHITTAZA,8.580739999999999,76.94569
s50,MUKKAMPLAMOODU,8.58497,76.947
s51,AMBALAM NAGAR,8.58483,76.94958000000001
s52,PALLIVILA,8.58743,76.94997
s53,VATTAPARA,8.59253,76.95286999999999
s54,VATTAPARA 1,8.59511,76.95631
s55,SHEEMALA MUKK,8.59527,76.95936999999999
s56,PUMB HOUSE,8.59817,76.96215
s57,CHENDI POORI,8.59859,76.9629
s58,CHIRAKIYANI,8.60264,76.96469
s59,THOTTU MUKKU,8.60522,76.96488000000001
s60,PARAYIL KADA,8.60588,76.96637
s61,TOWER JN,8.6066,76.96854
s62,MANGODE,8.60939,76.96898
