id,busstop_id,route_id,distance
1,s1,0101-32,0.0
2,s3,0101-32,0.86
3,s4,0101-32,0.66
4,s5,0101-32,0.77
5,s7,0101-32,1.06
6,s8,0101-32,0.79
7,s9,0101-32,0.41
8,s10,0101-32,0.54
9,s11,0101-32,0.46
10,s12,0101-32,0.22
11,s13,0101-32,0.38
12,s14,0101-32,0.38
13,s15,0101-32,0.37
14,s16,0101-32,0.31
15,s17,0101-32,0.14
16,s18,0101-32,0.43
17,s19,0101-32,0.17
18,s20,0101-32,0.21
19,s21,0101-32,0.17
20,s22,0101-32,0.26
21,s23,0101-32,0.33
22,s24,0101-32,0.43
23,s25,0101-32,0.41
24,s26,0101-32,0.86
25,s1,0101-27,0.0
26,s3,0101-27,0.8
27,s4,0101-27,0.7
28,s5,0101-27,0.91
29,s31,0101-27,0.83
30,s32,0101-27,0.79
31,s33,0101-27,0.59
32,s34,0101-27,0.5
33,s35,0101-27,0.44
34,s36,0101-27,0.42
35,s37,0101-27,0.78
36,s38,0101-27,0.21
37,s39,0101-27,0.54
38,s40,0101-27,0.7
39,s350,0101-27,0.48
40,s42,0101-27,0.4
41,s43,0101-27,0.33
42,s351,0101-27,0.57
43,s45,0101-27,0.76
44,s46,0101-27,0.5
45,s47,0101-27,0.29
46,s48,0101-27,0.5
47,s49,0101-27,0.57
48,s50,0101-27,0.67
49,s51,0101-27,0.38
50,s52,0101-27,0.29
51,s53,0101-27,0.79
52,s54,0101-27,0.53
53,s55,0101-27,0.42
54,s56,0101-27,0.54
55,s57,0101-27,0.11
56,s58,0101-27,0.61
57,s352,0101-27,0.3
58,s60,0101-27,0.2
59,s61,0101-27,0.27
60,s353,0101-27,0.33
61,s63,0101-27,0.61
62,s64,0101-27,0.24
63,s65,0101-27,0.31
64,s66,0101-27,0.34
65,s9,0101-27,0.28
66,s67,0101-27,0.17
67,s68,0101-27,0.23
68,s69,0101-27,0.52
69,s70,0101-27,0.19
70,s71,0101-27,0.44
71,s72,0101-27,0.49
72,s1,0101-34,0.0
73,s3,0101-34,0.83
74,s4,0101-34,0.64
75,s5,0101-34,0.94
76,s31,0101-34,0.75
77,s32,0101-34,0.79
78,s33,0101-34,0.77
79,s34,0101-34,0.4
80,s36,0101-34,0.86
81,s37,0101-34,0.69
82,s38,0101-34,0.26
83,s76,0101-34,0.6
84,s77,0101-34,0.67
85,s78,0101-34,0.34
86,s42,0101-34,0.5
87,s79,0101-34,0.45
88,s80,0101-34,0.51
89,s81,0101-34,0.74
90,s82,0101-34,0.46
91,s83,0101-34,0.22
92,s84,0101-34,0.6
93,s85,0101-34,0.59
94,s86,0101-34,0.65
95,s87,0101-34,0.29
96,s52,0101-34,0.53
97,s53,0101-34,0.6
98,s88,0101-34,0.47
99,s89,0101-34,0.39
100,s90,0101-34,0.75
101,s91,0101-34,0.53
102,s92,0101-34,1.1
103,s93,0101-34,1.11
104,s94,0101-34,0.85
105,s95,0101-34,0.88
106,s96,0101-34,0.91
107,s97,0101-34,0.89
108,s98,0101-34,0.38
109,s99,0101-34,0.32
110,s100,0101-34,0.46
111,s101,0101-34,0.37
112,s102,0101-34,0.68
113,s103,0101-34,0.6
114,s104,0101-34,0.78
115,s105,0101-34,0.81
116,s106,0101-34,0.63
117,s107,0101-34,0.63
118,s1,0101-37,0.0
119,s108,0101-37,0.74
120,s109,0101-37,0.89
121,s110,0101-37,0.37
122,s111,0101-37,0.02
123,s112,0101-37,0.34
124,s113,0101-37,0.69
125,s114,0101-37,0.38
126,s115,0101-37,0.6
127,s116,0101-37,0.52
128,s117,0101-37,0.39
129,s118,0101-37,0.34
130,s119,0101-37,0.44
131,s120,0101-37,0.47
132,s121,0101-37,0.73
133,s122,0101-37,0.01
134,s123,0101-37,0.43
135,s124,0101-37,0.44
136,s125,0101-37,0.88
137,s126,0101-37,0.33
138,s127,0101-37,0.42
139,s128,0101-37,0.57
140,s129,0101-37,0.51
141,s130,0101-37,0.41
142,s131,0101-37,0.38
143,s132,0101-37,0.53
144,s133,0101-37,0.61
145,s134,0101-37,0.64
146,s135,0101-37,0.28
147,s136,0101-37,0.27
148,s137,0101-37,0.41
149,s138,0101-37,0.66
